15,0,100
17,4,19
18,4,19
19,4,19
20,4,19
21,4,19
22,4,19
23,4,19
24,4,19
26,4,19
27,4,40
28,4,19
31,4,19
32,4,19
33,4,19
34,4,19
35,4,90
46,4,19
47,4,19
48,4,19
49,4,19
50,4,19
51,4,19
52,4,19
53,4,19
57,4,90
58,4,19
59,4,19
60,4,19
61,4,19
66,4,19
68,4,19
115,6,19
117,6,19
119,4,19
120,4,19
121,4,19
122,4,19
123,11,19
124,11,19
125,4,150
126,4,19
127,4,19
129,4,19
130,4,150
131,4,19
132,4,19
133,4,19
134,4,19
135,4,19
136,4,19
137,4,19
138,4,19
139,4,19
140,4,19
230,4,5
269,12,19
270,12,19
273,4,38
274,12,19
276,12,19
294,13,19
295,13,19
304,4,19
352,4,19
353,4,19
354,4,19
355,4,19
356,4,19
357,4,19
358,4,19
359,4,19
360,4,19
361,4,19
420,4,19
421,4,19
422,4,19
423,4,19
424,4,19
425,4,19
426,4,19
427,4,19
428,12,19
429,12,19
430,4,19
431,4,19
432,4,19
433,4,19
434,4,19
435,4,19
481,4,19
482,4,55
483,4,19
484,4,19
492,12,19
512,4,19
