15,0,100
17,4,44
18,4,10
19,4,20
20,4,10
21,4,3
22,4,3
23,4,7
24,4,10
26,4,25
27,4,40
28,4,30
31,4,25
32,4,10
33,4,10
34,4,20
35,4,30
57,4,70
58,4,10
59,4,10
60,4,10
61,4,35
66,4,10
68,4,10
115,6,15
117,6,15
119,4,30
120,4,20
121,4,15
122,4,25
123,11,20
124,11,20
125,4,150
126,4,15
127,4,25
128,4,11
129,4,20
130,4,150
131,4,20
132,4,10
133,4,10
134,4,15
135,4,15
136,4,20
137,4,15
138,4,15
139,4,10
140,4,18
141,4,26
155,4,40
178,4,20
179,4,10
180,4,20
181,4,10
182,4,20
183,4,20
208,1,5
209,1,15
219,4,3
220,4,1
221,4,2
222,4,1
224,12,5
225,4,5
226,4,3
227,4,4
228,4,3
229,4,40
230,4,12
231,4,5
232,4,7
234,4,50
343,4,20
344,4,10
349,12,1
350,12,1
351,12,2
352,4,16
353,4,4
354,4,6
355,4,23
356,4,20
357,4,12
358,4,41
359,4,23
360,4,12
361,4,14
389,4,83
396,4,15
397,4,13
398,4,10
399,4,10
400,4,10
401,4,12
402,4,12
403,4,15
404,4,17
405,4,11
