16,0,65
17,4,10
20,4,25
24,4,8
36,4,30
37,4,20
38,4,15
39,4,20
40,4,20
41,4,5
42,4,10
43,4,5
45,4,5
46,4,5
47,4,5
48,4,5
49,4,5
50,4,5
51,4,10
52,4,15
53,4,10
54,4,15
55,4,10
56,4,25
58,4,10
59,4,10
61,4,15
66,4,5
67,4,15
68,4,10
115,6,15
117,6,2
125,4,150
128,4,10
140,4,18
141,4,60
142,4,15
143,4,15
144,4,15
145,4,15
146,4,15
147,4,25
148,4,10
149,4,18
150,4,15
151,4,5
152,4,5
153,4,15
154,4,5
155,4,110
156,4,10
157,4,30
196,4,20
201,4,8
202,4,8
205,4,2
208,1,5
209,1,3
234,4,25
389,4,83
396,4,15
397,4,13
398,4,9
399,4,8
400,4,8
401,4,2
402,4,12
403,4,5
404,4,7
405,4,11
